r0x,r0y,rTx,rTy,v0x,v0y,vTx,vTy,method,side_gap,K_used,cost,winding,min_distance,eps_scale,strict,regime_scp,width_slopes,dual_shares,dua_res,osqp_status,flag,id
1.5,0.0,-2.4923588291678844,0.1426403939493929,0.0,0.0,0.0,0.0,solved,0.021995713109614207,200,0.18957478796779106,0,0.9997678301360269,1.0,True,1,0.48,0.32,1.1045012548116517e-05,solved,,A_00000
1.5,0.0,-1.845452693283932,0.1542511430517276,0.0,0.0,0.0,0.0,solved,0.0268181071598671,200,0.15174532793697856,0,0.9997910341165355,1.0,True,1,0.41,0.18,4.429185834142757e-05,solved,,A_00001
1.5,0.0,-0.9649064029469941,0.637417374019491,0.0,0.0,0.0,0.0,solved,0.1658582472988348,200,0.07761359171275897,0,0.9999291511808013,1.0,True,arc,0.31,0.07,7.733859861969172e-07,solved,,A_00002
1.5,0.0,-0.815586963973395,0.7115359486005546,0.0,0.0,0.0,0.0,solved,0.20623519834603868,200,0.06715572964165303,0,0.999830239733306,1.0,True,arc,0.32,0.05,5.536551214990748e-06,solved,,A_00003
1.5,0.0,-1.4152302231829934,0.2542110138768088,0.0,0.0,0.0,0.0,solved,0.051389547596679144,200,0.1240558333927435,0,0.9999434828213858,1.0,True,arc,0.30,0.08,6.092530135615171e-06,solved,,A_00004
1.5,0.0,-1.2255346368809197,0.5135680412240282,0.0,0.0,0.0,0.0,solved,0.11338908729324096,200,0.09652005562596408,0,0.9997705838594304,1.0,True,1,0.36,0.09,1.285784528870515e-05,solved,,A_00005
1.5,0.0,-1.2880291953195728,0.5406594593876628,0.0,0.0,0.0,0.0,solved,0.1149483783287312,200,0.097458493457343,0,0.9996545330753237,1.0,True,1,0.40,0.11,4.968229659231678e-06,solved,,A_00006
1.5,0.0,-1.3285408655316415,0.4411064692832549,0.0,0.0,0.0,0.0,solved,0.09245597594661761,200,0.10600230342973155,0,0.9997258278705082,1.0,True,1,0.35,0.10,1.6442508735892147e-05,solved,,A_00007
1.5,0.0,-1.608214663243739,0.17208979101116645,0.0,0.0,0.0,0.0,solved,0.032120027593791095,200,0.13900902235089224,0,0.9997028285508659,1.0,True,1,0.35,0.10,3.820368129126006e-05,solved,,A_00008
1.5,0.0,0.5153025689647528,1.9379957693850014,0.0,0.0,0.0,0.0,analytic,0.0,0,0.028352739797049473,0,1.3372795175674472,0.0,True,0,,,,,,A_00009
