r0x,r0y,rTx,rTy,v0x,v0y,vTx,vTy,method,side_gap,K_used,cost,winding,min_distance,eps_scale,strict,regime_scp,width_slopes,dual_shares,dua_res,osqp_status,flag,id
0.2,-1.3,0.3,-1.2,-12.9,12.5,-8.6,-16.4,solved,0.43536974154771535,200,2.552309569649246,-1,0.9999300251678576,1.0,True,3pts,0.59;0.59;0.67,1.00;1.00,2.1035629895416186e-05,solved,counterexample,SINGLE_direct
0.2,-1.3,0.3,-1.2,-12.9,12.5,-8.6,-16.4,forced_class,,200,2.5522485542117135,-1,1.0000000093953103,1.0,True,3pts,0.59;0.59;0.67,1.00;1.00,4.2144421775989883e-11,solved,counterexample,SINGLE_w-1
