N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact
2,0,100,True,converged,0.0051119327545166016,0.0,0.5748198968834889,1.4386265965582528,0.0,True,converged,0.0001336659988737665,0.0,0.0,0.5748773673767826,0.5747635667211365,1.4386316457438952,3.377320671581522e-05,5.922381194872739e-05,True,0.0,0.0
2,1,100,True,converged,0.0031380653381347656,0.0,0.38211861575464295,1.407666143841083,0.0,True,converged,0.00012070800585206598,0.0,0.0,0.3821568199738484,0.3820811695844947,1.407665968237239,2.7536294634531127e-05,4.508957782856655e-05,True,0.0,0.0
2,2,100,True,converged,0.0248110294342041,3.0,0.5569882431274376,0.5000000102681921,0.0,True,converged,0.001083499999367632,1.0,1.0,0.5572073340832242,0.5570960771892023,0.5011523491936622,0.005099786825494778,0.00833768371111337,True,1.0,1.0
2,3,100,True,converged,0.002972841262817383,0.0,0.8593583773338375,4.646565492551279,0.0,True,converged,0.00016016700101317838,0.0,0.0,0.8594442959844084,0.8592741634832444,4.646565448442263,4.129462812586788e-05,7.571630089213616e-05,True,1.0,1.0
2,4,100,True,converged,0.003074169158935547,0.0,0.49931727797378755,2.4732318329261007,0.0,True,converged,0.0002827499993145466,0.0,0.0,0.49936719971524235,0.4992683467807545,2.473231362187205,3.1477098938789016e-05,5.330539476201356e-05,True,0.0,0.0
2,5,100,True,converged,0.003047943115234375,0.0,0.9716203875789119,2.907552100812033,0.0,True,converged,0.00020929200400132686,0.0,0.0,0.9717175301852674,0.9715251724785403,2.907552284945836,4.390911779573641e-05,7.87991454791885e-05,True,0.0,0.0
2,6,100,True,converged,0.003019094467163086,0.0,0.3781908936096008,2.011895181575334,0.0,True,converged,8.933299977798015e-05,0.0,0.0,0.37822870513514606,0.3781538323412753,2.011897363731822,2.7394409009299193e-05,4.116674743729234e-05,True,0.0,0.0
2,7,100,True,converged,0.0031812191009521484,0.0,0.19073612569117174,5.000860280785462,0.0,True,converged,0.00010258399561280385,0.0,0.0,0.19075519548901948,0.19071743427672197,5.000860280785462,1.9454625737788614e-05,2.9420863920528434e-05,True,0.0,0.0
2,8,100,True,converged,0.00310516357421875,0.0,0.8709990126328929,1.2831203404744853,0.0,True,converged,0.00012270799925317988,0.0,0.0,0.8710860951141814,0.8709136580443405,1.283121754233871,4.157337027115504e-05,6.437211354468244e-05,True,0.0,0.0
2,9,100,True,converged,0.0029342174530029297,0.0,0.09957963877263443,3.6862925980082775,0.0,True,converged,8.408400026382878e-05,0.0,0.0,0.09958959474491952,0.09956988034699629,3.686292598008278,1.4056968617298454e-05,2.51077373521908e-05,True,0.0,0.0
2,10,100,True,converged,0.013090133666992188,2.0,0.9527223506038944,0.5000000000000001,0.0,True,converged,0.0006993750066612847,1.0,1.0,0.9528195469621652,0.9526286562838806,0.5000133462442936,0.0007807018232235217,0.0012872188029413657,True,1.0,1.0
2,11,100,True,converged,0.013010978698730469,2.0,0.8531059331142509,0.5000000000000001,0.0,True,converged,0.0008463750054943375,1.0,1.0,0.853256404684195,0.8530871580532687,0.5015877773783106,0.005045075403200977,0.008257630681495444,True,1.0,1.0
2,12,100,True,converged,0.003136873245239258,0.0,0.40356310095153425,2.7436466630333776,0.0,True,converged,9.570900147082284e-05,0.0,0.0,0.4036034491903696,0.4035235533034459,2.7436478770787196,2.8298416038678974e-05,4.141230002373699e-05,True,0.0,0.0
2,13,100,True,converged,0.002985239028930664,0.0,0.5503929682554738,2.0338813593114278,0.0,True,converged,8.408300345763564e-05,0.0,0.0,0.5504479965444431,0.5503390318391674,2.0338812538957005,3.304782181517187e-05,5.624010758598875e-05,True,1.0,1.0
2,14,100,True,converged,0.003031015396118164,0.0,0.48963341055744836,2.9889790881589993,0.0,True,converged,8.537499525118619e-05,0.0,0.0,0.4896823641058389,0.4895854283465692,2.9889791107586987,3.117036761712056e-05,5.3631876322639625e-05,True,1.0,1.0
2,15,100,True,converged,0.029699087142944336,3.0,0.5981746387363425,0.5002734878680554,0.0,True,converged,0.0007884590013418347,1.0,1.0,0.598243905621942,0.5981233734502356,0.5002627010433655,0.0013599243756369176,0.0021620016530615135,True,1.0,1.0
2,16,100,True,converged,0.0029449462890625,0.0,0.1199630169561261,3.7403258120864695,0.0,True,converged,9.541700273985043e-05,0.0,0.0,0.11997501085856212,0.11995126103699727,3.740325841070989,1.542872689570708e-05,2.6455187289324034e-05,True,1.0,1.0
2,17,100,True,converged,0.0029997825622558594,0.0,1.01474376720896,1.0485315526437657,0.0,True,converged,8.98750004125759e-05,0.0,0.0,1.0148452212908117,1.014644326181496,1.0485315957899013,4.487294759522508e-05,7.400748386348934e-05,True,1.0,1.0
2,18,100,True,converged,0.012084007263183594,2.0,0.5583543828180522,0.49999999999999994,0.0,True,converged,0.0006375409939209931,1.0,1.0,0.5584179934289566,0.5583074295126318,0.5010157756139609,0.0008360260251753577,0.00137208624480962,True,1.0,1.0
2,19,100,True,converged,0.002979755401611328,0.0,0.7000121295513024,3.4779712152668347,0.0,True,converged,8.270800026366487e-05,0.0,0.0,0.7000821167640191,0.6999435310265819,3.4779712629000765,3.726998214340432e-05,5.97027679143154e-05,True,0.0,0.0
2,20,100,True,converged,0.0030727386474609375,0.0,1.7138641911560448,0.658733362876574,0.0,True,converged,7.75419975980185e-05,0.0,0.0,1.7140355432978875,1.7136962389876165,0.658731759031465,5.8316923453008636e-05,8.446206210258727e-05,True,1.0,1.0
2,21,100,True,converged,0.0029959678649902344,0.0,0.33033083393696494,2.2453038542783283,0.0,True,converged,9.025000326801091e-05,0.0,0.0,0.3303638604137438,0.3302984627723504,2.245303865894002,2.5602416527523142e-05,4.550773945909264e-05,True,0.0,0.0
2,22,100,True,converged,0.0031981468200683594,0.0,0.20373646410361948,2.4732627742913174,0.0,True,converged,0.0001202080020448193,0.0,0.0,0.20375683367530165,0.20371649870547937,2.4732627742913182,2.010669935921897e-05,3.862597661613296e-05,True,0.0,0.0
2,23,100,True,converged,0.002955913543701172,0.0,0.9939214071600123,1.5791044260250153,0.0,True,converged,9.008300548885018e-05,0.0,0.0,0.9940207794223062,0.9938240066445913,1.5791044260250153,4.441016883816719e-05,6.964594614268093e-05,True,0.0,0.0
2,24,100,True,converged,0.11006975173950195,4.0,0.8213706448383354,0.500000492893377,0.0,True,converged,0.000792874998296611,1.0,1.0,0.8218478264747506,0.8216836722412266,0.502303512709338,0.0017047067406665629,0.0027492567919629902,True,1.0,1.0
2,25,100,True,converged,0.00305938720703125,0.0,0.6909336112743485,1.1903313877596873,0.0,True,converged,0.0001632919957046397,0.0,0.0,0.6910026908168078,0.6908659024098697,1.1903300649737258,3.7027514609850504e-05,5.282399250410277e-05,True,1.0,1.0
2,26,100,True,converged,0.013032913208007812,2.0,1.146813739175711,0.50000000262781,0.0,True,converged,0.0008065000001806766,1.0,1.0,1.147028920930505,1.146801855345236,0.5074788996942936,0.0044016809715380426,0.007189702040207792,True,1.0,1.0
2,27,100,True,converged,0.0031528472900390625,0.0,0.2043211021584292,7.224385367180159,0.0,True,converged,0.00021387499873526394,0.0,0.0,0.20434153018222412,0.20430107946798468,7.224385353800978,2.0135527582823423e-05,3.759705099610768e-05,True,0.0,0.0
2,28,100,True,converged,0.0029151439666748047,0.0,0.0660981830677652,6.536338627066469,0.0,True,converged,7.750000077066943e-05,0.0,0.0,0.06610479156410884,0.0660917056973688,6.536339577118019,1.145252274004275e-05,1.9356013407628068e-05,True,0.0,0.0
2,29,100,True,converged,0.0030107498168945312,0.0,1.2073909204836903,2.4396967792182256,0.0,True,converged,8.499999967170879e-05,0.0,0.0,1.2075116354279276,1.2072726007683459,2.439696945445539,4.894748193946205e-05,7.654091784227787e-05,True,0.0,0.0
2,30,100,True,converged,0.013974905014038086,2.0,0.34366164886209283,0.5000000000000002,0.0,True,converged,0.0007008329994278029,1.0,1.0,0.3437058664822943,0.3436377694283318,0.5005663543849702,0.0007732683895549207,0.0012446563793223626,True,1.0,1.0
2,31,100,True,converged,0.003113985061645508,0.0,0.3523914459022057,2.5750130473026087,0.0,True,converged,8.704200445208699e-05,0.0,0.0,0.3524266779989691,0.3523569128815729,2.5750130473026083,2.6443508766393185e-05,4.079499374579807e-05,True,0.0,0.0
