t,x,y,gap,dual
0.0,1.299828562739576,0.00031400556615869524,0.2998286006674602,0.0
0.005,1.29931547573156,0.0012494447584248955,0.29931607647551806,0.0
0.01,1.2984632307183595,0.002793201778345672,0.29846623502643843,0.0
0.015,1.2972743193166059,0.004932167144466936,0.2972836951997446,0.0
0.02,1.295751232941189,0.007653223674835646,0.2957738342400764,0.0
0.025,1.2938964638695396,0.010943259361223812,0.29394273989985575,0.0
0.03,1.2917125039070867,0.014789158326123705,0.2917971636266703,0.0
0.035,1.2892018432153871,0.019177807387221076,0.2893444771844851,0.0
0.04,1.2863669755936589,0.024096089443696126,0.2865926384930295,0.0
0.045,1.2832103915629796,0.029530895592298732,0.2835501481475893,0.0
0.05,1.2797345830825546,0.035469108912741146,0.28022601942959424,0.0
0.055,1.2759420415277687,0.041897618661258296,0.27662974420445585,0.0
0.06,1.2718352587770838,0.04880330351956075,0.27277126299386345,0.0
0.065,1.2674167272114918,0.05617305784569967,0.26866093691073556,0.0
0.07,1.2626889371078072,0.06399376537348253,0.26430951665370284,0.0
0.075,1.257654381027139,0.07225230942651509,0.2597281207999689,0.0
0.08,1.2523155507282993,0.08093557750108302,0.25492820762837165,0.0
0.085,1.246674937733045,0.09003045535350707,0.24992155084343248,0.0
0.09,1.2407350338854524,0.09952383366291662,0.24472021666625898,0.0
0.095,1.2344983303490356,0.10940259031054764,0.23933653799168453,0.0
0.1,1.2279673191792388,0.11965361586279241,0.2337830946974786,0.0
0.105,1.2211444921158596,0.13026379788907425,0.2280726882662063,0.0
0.11,1.2140323409503062,0.1412200172464343,0.22221831852757123,0.0
0.115,1.2066333566434766,0.15250916587168406,0.21623316146188865,0.0
0.12,1.1989500316743154,0.16411812672650894,0.21013054583877855,0.0
0.125,1.190984857216649,0.17603378623012472,0.20392392783509172,0.0
0.13,1.1827403252464022,0.1882430292243689,0.19762686802506724,0.0
0.135,1.1742189269775434,0.20073274211867725,0.19125300512979893,0.0
0.14,1.1654231543968012,0.21348981662620298,0.18481603238953515,0.0
0.145,1.156355499456382,0.22650112997592114,0.1783296665209564,0.0
0.15,1.1470184534839427,0.23975357254060134,0.171807624219384,0.0
0.155,1.1374145076970539,0.2532340284410455,0.1652635905580384,0.0
0.16,1.1275461539724059,0.26692938775925495,0.15871119239761167,0.0
0.165,1.1174158846179734,0.2808265340753462,0.1521639646497106,0.0
0.17,1.1070261902647265,0.2949123546904352,0.14563531845046196,0.0
