t,x,y,gap,dual
0.0,1.3398173487728264,0.0003102721818355406,0.33981738469892697,0.0
0.005,1.3392708659464696,0.001234656341526867,0.3392714350531367,0.0
0.01,1.3383634954113353,0.0027602919245945786,0.3383663418739864,0.0
0.015,1.3370981811108442,0.0048743184853862745,0.3371070656124082,0.0
0.02,1.3354778672665821,0.0075638770658471716,0.3354992872312459,0.0
0.025,1.3335054973532419,0.01081610039470033,0.3335493614782563,0.0
0.03,1.3311840155877432,0.014618138891780244,0.3312642762956455,0.0
0.035,1.3285163653364862,0.0189571265035558,0.3286516118276228,0.0
0.04,1.325505490929731,0.023820198053086408,0.3257195058986482,0.0
0.045,1.322154336864063,0.029194502554032113,0.322476619629938,0.0
0.05,1.318465846282716,0.03506717326120434,0.3189321038076711,0.0
0.055,1.3144429630491383,0.04142534948611563,0.31509557169410507,0.0
0.06,1.3100886315821432,0.04825617398379557,0.310977071091759,0.0
0.065,1.3054057957958816,0.05554678441505427,0.3065870567843274,0.0
0.07,1.3003973991646436,0.06328431835016399,0.3019363658425147,0.0
0.075,1.2950663859740825,0.07145592277636237,0.29703619570919937,0.0
0.08,1.2894156999522086,0.08004872914294266,0.29189807892133834,0.0
0.085,1.2834482853055498,0.08904987695807426,0.2865338633864265,0.0
0.09,1.2771670855876547,0.09844651390602618,0.2809556903377701,0.0
0.095,1.270575044508166,0.10822577146731471,0.27517597269420957,0.0
0.1,1.2636751069583316,0.11837479309921496,0.269207377691854,0.0
0.105,1.256470215937187,0.12888071491929176,0.26306280216596867,0.0
0.11,1.2489633159058693,0.1397306805138561,0.2567553570824552,0.0
0.115,1.2411573503264268,0.15091182642073436,0.2502983434456587,0.0
0.12,1.2330552635647312,0.16241129452331837,0.24370523501086416,0.0
0.125,1.2246599992327558,0.17421622490601008,0.23698965506639347,0.0
0.13,1.2159745012443062,0.18631374901804543,0.2301653550435805,0.0
0.135,1.2070017140294729,0.19869101761648614,0.22324619686780967,0.0
0.14,1.197744580554029,0.21133516413337738,0.21624612305479873,0.0
0.145,1.188206045693028,0.22423332948974944,0.2091791401920231,0.0
0.15,1.1783890523318867,0.23737265272755342,0.2020592892692763,0.0
0.155,1.1682965458309544,0.25074027263520265,0.19490062487292859,0.0
0.16,1.1579314685515498,0.26432333319216006,0.1877171844895411,0.0
0.165,1.1472967656753708,0.27810896728861295,0.1805229630191465,0.0
0.17,1.1363953802901134,0.2920843159660774,0.17333188313370362,0.0
0.175,1.12523025671058,0.30623652319761846,0.1661577675242416,0.0
0.18,1.1138043386798504,0.3205527257294519,0.15901430311909448,0.0
0.185,1.1021205701532886,0.33502005968290194,0.15191501055631051,0.0
0.19,1.090181894669478,0.34962567457056887,0.1448732138468687,0.0
0.195,1.077991257102393,0.3643566964181191,0.13790199604971387,0.0
0.2,1.0655516003968994,0.37920027463754935,0.1310141738252384,0.0
0.205,1.0528658687708976,0.39414354559796183,0.12422225211887228,0.0
0.21,1.039937006279076,0.40917364788997457,0.11753838911970971,0.0
0.215,1.0267679567602954,0.42427772291110927,0.11097435757462382,0.0
0.22,1.0133616641721415,0.4394429113752199,0.10454150432279419,0.0
0.225,0.9997210719405377,0.4546563476847485,0.0982507073396186,0.0
0.23,0.9858491247358661,0.4699051753390235,0.09211234337538343,0.0
0.235,0.9717487656721071,0.4851765316756672,0.08613623937059267,0.0
0.24,0.95742293932198,0.5004575569923735,0.08033163940093635,0.0
0.245,0.942874589209974,0.515735392166172,0.07470716277071143,0.0
0.25,0.9281066588890163,0.5309971789794103,0.06927076755994066,0.0
0.255,0.9131220932053137,0.5462300494373709,0.0640297101152798,0.0
0.26,0.8979238350851408,0.5614211514974419,0.0589905207142889,0.0
0.265,0.8825148289860277,0.5765576173858664,0.05415895838621254,0.0
0.27,0.866898018547136,0.591626588419206,0.04953999194194547,0.0
0.275,0.8510763479087482,0.6066152077289451,0.0451377709267442,0.0
0.28,0.8350527607921313,0.6215106134222712,0.04095559746950217,0.0
0.285,0.8188302010091117,0.6362999412886601,0.0369959080770641,0.0
0.29,0.8024116119580116,0.6509703370628852,0.03326026476431432,0.0
0.295,0.7857999384586598,0.6655089332286743,0.029749330414349684,0.0
0.3,0.7689981238683277,0.679902874879128,0.026462875013953502,0.0
0.305,0.7520091120693366,0.6941393008629448,0.02339976237920327,0.0
0.31,0.7348358470619225,0.7082053452101562,0.02055795186331766,0.0
0.315,0.7174812726313935,0.7220881571358835,0.017934518155593437,0.0
0.32,0.6999483323203033,0.7357748630706231,0.015525635838193885,0.0
0.325,0.6822399706869863,0.7492526168489515,0.013326631179690906,1.243835754206601e-18
0.33,0.6643591310242544,0.7625085480599928,0.011331963719065197,1.1181661027495282e-17
0.335,0.6463087572203932,0.7755297987669862,0.009535278450105045,0.0
0.34,0.6280917937692398,0.7883035078993346,0.007929423107916556,7.055707594304693e-18
0.345,0.6097111839885251,0.8008168194781675,0.00650648594026304,0.0
0.35,0.5911698710642007,0.8130568677555421,0.005257820988484818,0.0
0.355,0.5724707999570299,0.8250107928157036,0.00417410097345039,0.0
0.36,0.5536169142108478,0.8366657336030439,0.003245352586225936,5.863492199525762e-17
0.365,0.5346111576061272,0.84800883543231,0.002461009121165647,5.689953121546844e-17
0.37,0.5154564735990514,0.8590272324517645,0.001809943187283114,0.0
0.375,0.4961558068739243,0.8697080618264987,0.0012805288732622433,0.0
0.38,0.47671210055726293,0.8800384693923122,0.0008606968145374871,0.0
0.385,0.45712829874378014,0.8900055880432084,0.0005379694247089617,0.0
0.39,0.4374073451696596,0.8995965656066058,0.00029953836816787316,1.0634807372247683e-16
0.395,0.41755218384030546,0.908798533133427,0.0001322912771473117,0.1610594981427462
0.4,0.39756596656910825,0.9175990882573992,2.3391998827060334e-05,0.31243948267602784
0.405,0.37745188572853616,0.9259859272568296,-4.0069043904966684e-05,0.39255679160925394
0.41,0.35721370055520996,0.9339480540201583,-6.97046931782408e-05,0.4199897420302994
0.415,0.33685583755954207,0.9414760923222266,-7.54589908944503e-05,0.4099478197567738
0.42,0.3163833929406735,0.9485624178296848,-6.544621782866855e-05,0.3745741316815654
0.425,0.29580207653161605,0.9552011184632565,-4.597846007325934e-05,0.323313013153648
0.43,0.2751181255709335,0.9613878520552801,-2.170768704734538e-05,0.2632974622698411
0.435,0.2543381993962698,0.9671196419650145,4.1607646812380494e-06,0.19973599676989817
0.44,0.23346927888339652,0.9723946289202556,2.9608829305916018e-05,0.13627979752365424
0.445,0.21251856973439687,0.9772118034247498,5.3524184883579906e-05,0.07536241334103802
0.45,0.19149341679815518,0.9815707410863538,7.54213727311992e-05,0.01850632220251007
0.455,0.17040124031240933,0.9854713412422591,9.516902634043589e-05,2.297613205567873e-16
0.46,0.14924944570729107,0.9889134268578899,0.00011257509529838394,1.2898236733109077e-16
0.465,0.12804547740842492,0.9918969944887355,0.00012763783456049005,0.0
0.47,0.10679677283728316,0.9944220406714243,0.00014036297990593916,0.0
0.475,0.08551077538262436,0.9964885619596415,0.00015076204686859107,0.0
0.48,0.06419492648117908,0.9980965549067113,0.0001588481349199533,0.0
0.485,0.04285666610794844,0.9992460160685197,0.00016463367722452382,0.0
0.49,0.021503437473128773,0.9999369420049811,0.00016812877107486024,0.0
0.495,0.00014268079414327497,1.0001693292774516,0.00016933945463271094,5.2046553531187797e-17
0.5,-0.021218162298222695,0.9999431744540664,0.0001682671173832695,0.0
0.505,-0.04257165093933632,0.9992584741041883,0.00016490816901360006,0.0
0.51,-0.06391034469692572,0.9981152248008733,0.0001592543883088826,0.0
0.515,-0.08522679894367849,0.9965134231211046,0.00015129341451514122,0.0
0.52,-0.10651357720499963,0.9944530656455575,0.00014101100837415892,0.0
0.525,-0.12776323334666329,0.9919341489552251,0.0001283915871606034,1.399271561309863e-16
0.53,-0.14896832976324448,0.9889566696346528,0.00011342241133549535,0.0
0.535,-0.17012142318430085,0.9855206242651562,9.609512198127668e-05,0.0
0.54,-0.1912150723789287,0.9816260094464924,7.641024409932307e-05,0.0175860152454249
0.545,-0.21224187077634923,0.9772729964207141,5.455913353324959e-05,0.0743925199131121
0.55,-0.2331943993284078,0.9724616748219803,3.066796759187973e-05,0.13528757635217353
0.555,-0.25406530950177453,0.9671924550811115,5.213315440899535e-06,0.19876177853530083
0.56,-0.2748473900764499,0.9614663259301595,-2.070834967993207e-05,0.2623997961169744
0.565,-0.2955336594321385,0.9552851251745387,-4.509389818718734e-05,0.32257365976773983
0.57,-0.31611744686276666,0.9486518018479393,-6.476141683253722e-05,0.3741049509469252
0.575,-0.33659250625113873,0.9415706696725576,-7.508219264207305e-05,0.40989671918515175
0.58,-0.3569531165645814,0.9340476085650644,-6.977118836770657e-05,0.42054905906918305
0.585,-0.37719416701964376,0.9260902140577475,-4.073872623810981e-05,0.39396946281633577
0.59,-0.39731121700826777,0.9177078302835929,2.19322216941098e-05,0.3150079703692359
0.595,-0.4173004940841372,0.9089114369030529,0.00012984281843997358,0.16515025623829632
0.6,-0.43715879420336706,0.8997133207096497,0.0002958916299349301,5.0778553436417625e-17
0.605,-0.4568829650569223,0.8901258984462863,0.0005329374108646867,0.0
0.61,-0.47647005885480026,0.8801620373423518,0.0008540997386863314,0.0
0.615,-0.4959171288235033,0.8698346045710759,0.00127220972613995,6.492562327704797e-17
0.62,-0.5152212287340436,0.8591564649407765,0.0017997533378362185,5.985638424295449e-18
0.625,-0.5343794109877691,0.8481404868016955,0.002448821755929753,0.0
0.63,-0.5533887296288642,0.8367995382518549,0.0032310567854076933,4.0415087653203625e-17
0.635,-0.5722462368194665,0.8251464855517638,0.004157596282808651,0.0
0.64,-0.5909489866959519,0.8131941914057825,0.005239025213942261,7.424814247728656e-17
0.645,-0.6094940318766184,0.8009555307755404,0.006485338777045602,0.0
0.65,-0.6278784255140573,0.7884433629519179,0.007905875470989088,0.0
0.655,-0.6460992206964773,0.7756705613103568,0.009509297960211605,0.0
0.66,-0.6641534710970727,0.7626499889885164,0.011303534491239775,2.4379492168201896e-18
0.665,-0.6820382293273968,0.7493945122807748,0.013295752137840067,0.0
0.67,-0.6997505491612374,0.7359170009791234,0.015492325614310243,4.2280921487774384e-19
0.675,-0.7172874829647837,0.7222303186064534,0.017898799651681507,0.0
0.68,-0.7346460844602032,0.7083473355852141,0.02051987596684257,0.0
0.685,-0.7518234067831657,0.694280916741894,0.023359382787400795,0.0
0.69,-0.7688165029007543,0.6800439284497461,0.026420264683969075,0.0
0.695,-0.7856224257976937,0.6656492399224587,0.02970457245056446,0.0
0.7,-0.8022382290003712,0.6511097160809882,0.03321345250858854,0.0
0.705,-0.8186609655579679,0.6364382275049527,0.036947150995628286,0.0
0.71,-0.8348876885232942,0.6216476339823593,0.04090500684915277,0.0
0.715,-0.8509154508461125,0.6067508093821716,0.04508547457830603,0.0
0.72,-0.8667413058517222,0.591760616307386,0.0494861210526063,0.0
0.725,-0.8823623066384245,0.5766899228949991,0.05410365113916615,0.0
0.73,-0.8977755070304323,0.5615515974774135,0.05893392506481954,0.0
0.735,-0.9129779588532766,0.5463585059318946,0.06397197818176936,0.0
0.74,-0.9279667162701688,0.5311235138762316,0.06921205263384289,0.0
0.745,-0.9427388317490675,0.5158594887672514,0.07464762459087337,0.0
0.75,-0.9572913586147687,0.5005793014415827,0.0802714391810293,0.0
0.755,-0.9716213502856085,0.485295812650217,0.08607553793769962,0.0
0.76,-0.985725859665701,0.4700218926942863,0.09205130375161596,0.0
0.765,-0.9996019397250518,0.4547704083639942,0.09818949285887824,0.0
0.77,-1.0132466438320065,0.4395542246865859,0.10448027491515255,0.0
