N,seed,K,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,scp_min_dist_continuous,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact
16,0,10,True,converged,0.0581684159988071,2,1,1.533998181012379,1.5036679291634183,0.5017933945718013,True,converged,0.0335171222686767,2,1.51817817561976,0.5000000000000004,0.0,0.1504775296397571,0.044471920855403,0.1970398892958369,False,51,51
16,0,15,True,converged,0.0377188750135246,2,1,1.5171407080329171,1.5036679291634183,0.5017933945718013,True,converged,0.0722179412841796,2,1.5096102923257286,0.4999999999999999,0.0,0.1504775296397709,0.0441219465479257,0.1962204278379145,True,52,52
16,0,25,True,converged,0.0581684159988071,2,1,1.5085188128180014,1.5036679291634183,0.5017933945718013,True,converged,0.2002551555633545,2,1.5060126540914025,0.5000000000000007,0.0,0.4664998859708371,0.0185005446123524,0.0710178898046799,True,52,52
16,0,35,True,converged,0.0377188750135246,2,1,1.506138354012514,1.5036679291634183,0.5017933945718013,True,converged,0.4579551219940185,2,1.5046114815308909,0.4999999999999996,0.0,0.3558009746535098,0.0320676975791616,0.1385586746357247,True,52,52
16,0,50,True,converged,0.0581684159988071,2,1,1.504876456218603,1.5036679291634183,0.5017933945718013,True,converged,1.0926940441131592,2,1.5041771150074543,0.4999999999999998,0.0,0.463709503993546,0.0193848822455706,0.0742356064053913,True,52,52
16,0,75,True,converged,0.0581684159988071,2,1,1.5042026144581289,1.5036679291634183,0.5017933945718013,True,converged,2.967858076095581,3,1.503843206729166,0.5001384586888235,0.0,0.4725987960874454,0.0152546259328246,0.0599643281413111,True,52,52
16,0,100,True,converged,0.0581684159988071,2,1,1.503966995535265,1.5036679291634183,0.5017933945718013,True,converged,6.900673151016235,4,1.5037260701516888,0.5000854116755795,0.0,0.4770569780792122,0.0142028141614353,0.0522501112207361,True,52,52
16,0,150,True,converged,0.0581684159988071,2,1,1.5037989112506502,1.5036679291634183,0.5017933945718013,True,converged,18.07714891433716,4,1.5036538343747616,0.5000000000070003,0.0,0.4849244335642538,0.0089666608070832,0.0352896751186386,True,52,52
16,0,200,True,converged,0.040913166012614965,2,1,1.5037401945976865,1.5036679291634185,0.5017933945718013,True,converged,15.69125509262085,3,1.5036461060459938,0.5000000000027495,0.0,0.4915949798379512,0.004212566775360525,0.01769189870341719,True,52,52
16,1,10,True,converged,0.0760409169888589,3,1,1.3199747192354971,1.2940736492773552,0.5031274753340267,True,converged,0.0302960872650146,2,1.306931123432022,0.5000000000000011,0.0,0.3173358446979624,0.0248614061229621,0.1089800313031601,True,64,64
