r0x,r0y,rTx,rTy,v0x,v0y,vTx,vTy,method,side_gap,K_used,cost,winding,min_distance,eps_scale,strict,regime_scp,width_slopes,dual_shares,dua_res,osqp_status,flag,id
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.13325932093055393,3.997779627916618,solved,0.3842438842302114,200,0.08849097703518935,-1,0.9992961813970237,1.0,True,1,0.50,0.21,2.9127563011543955e-06,solved,,L2_00000
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.11993338883749853,3.598001665124956,solved,0.3640644734297185,200,0.08597658317698607,-1,0.9998545559529807,1.0,True,1,0.53,0.36,2.4481933800224454e-06,solved,,L2_00001
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.10660745674444315,3.1982237023332942,solved,0.3437739175625477,200,0.08459809193380108,-1,0.9996000226407935,1.0,True,1,0.50,0.25,5.833612179886871e-06,solved,,L2_00002
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.09328152465138774,2.7984457395416324,solved,0.3234001829662733,200,0.08438151336316009,-1,0.999618839423401,1.0,True,1,0.51,0.25,7.828035646029186e-06,solved,,L2_00003
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.07995559255833236,2.3986677767499707,solved,0.3029756464303974,200,0.08533432348276696,-1,0.9996950207755856,1.0,True,1,0.51,0.23,0.00010632748038043312,solved,,L2_00004
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.06662966046527696,1.998889813958309,solved,0.28243972966524844,200,0.08745317083765723,-1,0.9997098423200724,1.0,True,1,0.50,0.24,5.034946211401881e-06,solved,,L2_00005
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.05330372837222156,1.5991118511666467,solved,0.2618591990653444,200,0.09073252520257345,-1,0.9996061062774988,1.0,True,1,0.50,0.21,7.512261845143975e-06,solved,,L2_00006
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.03997779627916617,1.1993338883749851,solved,0.24138213471044911,200,0.09517925165485062,-1,0.9996396948335895,1.0,True,1,0.49,0.21,3.528558976562124e-06,solved,,L2_00007
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.02665186418611078,0.7995559255833233,solved,0.220862414916391,200,0.10077441673460244,-1,0.999665606598237,1.0,True,1,0.49,0.20,2.4218224646941827e-05,solved,,L2_00008
1.5,0.0,-1.5,0.05,-0.0,-4.0,0.01332593209305539,0.39977796279166167,solved,0.2003796701300981,200,0.1074988398163384,-1,0.9996004698209622,1.0,True,1,0.48,0.19,9.847166002496799e-06,solved,,L2_00009
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.0,-0.0,solved,0.18002805297740407,200,0.11536301257932371,-1,0.9997268096804544,1.0,True,1,0.49,0.21,1.4013690977476845e-05,solved,,L2_00010
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.013325932093055404,-0.3997779627916621,solved,0.15978722821172311,200,0.12430191540553856,-1,0.9995778601673466,1.0,True,1,0.46,0.17,9.955771626546372e-06,solved,,L2_00011
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.026651864186110808,-0.7995559255833242,solved,0.1397840336099268,200,0.13433727043727878,-1,0.9995428381469453,1.0,True,1,0.44,0.16,5.918697024487329e-06,solved,,L2_00012
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.039977796279166186,-1.1993338883749856,solved,0.11991626305623565,200,0.14546379199059084,-1,0.9996664460072342,1.0,True,1,0.44,0.16,8.869249270469103e-06,solved,,L2_00013
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.05330372837222159,-1.5991118511666476,solved,0.10033782502390626,200,0.15762005338958063,-1,0.9996428218947461,1.0,True,1,0.43,0.14,6.512880120601583e-06,solved,,L2_00014
1.5,0.0,-1.5,0.05,-0.0,-4.0,-0.06662966046527696,-1.998889813958309,solved,0.08094010509403743,200,0.17082977942173022,-1,0.9997498803573088,1.0,True,1,0.41,0.16,4.157973863216924e-06,solved,,L2_00015
