r0x,r0y,rTx,rTy,v0x,v0y,vTx,vTy,method,side_gap,K_used,cost,winding,min_distance,eps_scale,strict,regime_scp,width_slopes,dual_shares,dua_res,osqp_status,flag,id
-0.2,-1.3,0.6,-1.2,-8.6,5.0,2.4,-7.6,solved,0.24578307241042663,200,0.5886496405575314,0,0.9998915014049717,1.0,True,arc,0.20,0.22;0.23,7.2410183120652505e-06,solved,,SINGLE_direct
-0.2,-1.3,0.6,-1.2,-8.6,5.0,2.4,-7.6,forced_class,,200,0.834433206764676,-1,0.9998963556623898,1.0,True,arc,0.09,0.04;0.26,0.00010335139721745857,solved,,SINGLE_w-1
