N,seed,K,prio_scp_success,prio_scp_reason,prio_scp_time,prio_scp_iterations_total,prio_scp_iterations_per_rank,prio_scp_time_per_rank,prio_scp_rank_reasons,prio_scp_cost,prio_scp_min_dist,prio_sci_success,prio_sci_reason,prio_sci_time,prio_sci_contacts,prio_sci_contacts_per_rank,prio_sci_time_per_rank,prio_sci_cost,prio_sci_cost_continuous,prio_sci_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_prio_scp,n_crossings_prio_sci
2,0,200,True,converged,0.07174816692713648,1,"[0, 1]","[0.021044790977612138, 0.047761708963662386]","[""converged"", ""converged""]",0.5747767843134114,1.4374693663606894,True,converged,0.012258292059414089,0,"[0, 0]","[1.1625001206994057e-05, 0.0001663330476731062]",0.5802634731247834,0.5747635667211364,1.4370811041632126,0.01694404906151547,0.032695502423250804,True,0.0,0.0
2,1,200,True,converged,0.07097337499726564,1,"[0, 1]","[0.020438667037524283, 0.04901645798236132]","[""converged"", ""converged""]",0.38208995614197294,1.4076660118375983,True,converged,0.012492624926380813,0,"[0, 0]","[1.2375065125524998e-05, 0.00017087499145418406]",0.3857373001971197,0.3820811695844947,1.4076654622160445,0.01381498449896395,0.024892460526355083,True,0.0,0.0
2,2,200,True,converged,0.5120377920102328,3,"[0, 3]","[0.01909062499180436, 0.49126529099885374]","[""converged"", ""converged""]",0.5709990248684943,0.5000000674558286,True,converged,0.012815834023058414,1,"[0, 1]","[1.3542012311518192e-05, 0.0009739589877426624]",0.5768748071509308,0.5710664164710053,0.5003827172291604,0.02002106713153433,0.04204669879605864,True,1.0,1.0
2,3,200,True,converged,0.06570054194889963,1,"[0, 1]","[0.018305416917428374, 0.04579470807220787]","[""converged"", ""converged""]",0.8592939238442049,4.646565459458384,True,converged,0.01187795796431601,0,"[0, 0]","[1.254095695912838e-05, 0.00012974999845027924]",0.8674965487349574,0.8592741634832443,4.646565592713187,0.02071755314309215,0.04180045859669648,True,1.0,1.0
2,4,200,True,converged,0.06718858296517283,1,"[0, 1]","[0.018799709039740264, 0.04671324999071658]","[""converged"", ""converged""]",0.49927982824169853,2.472855242610014,True,converged,0.012206375016830862,0,"[0, 0]","[9.499955922365189e-06, 0.00011508399620652199]",0.5040458402347368,0.4992683467807545,2.4729477959350548,0.015792089665072496,0.02942814057853621,True,0.0,0.0
2,5,200,True,converged,0.06672616698779166,1,"[0, 1]","[0.018399375025182962, 0.04681033408269286]","[""converged"", ""converged""]",0.9715475142280143,2.9072624861675602,True,converged,0.012437707977369428,0,"[0, 0]","[1.2834090739488602e-05, 0.00014245894271880388]",0.980821686431053,0.9715251724785408,2.9071333825491723,0.022029245029388123,0.043502394849568776,True,0.0,0.0
2,6,200,True,converged,0.06642354209907353,1,"[0, 1]","[0.017715167021378875, 0.04715941601898521]","[""converged"", ""converged""]",0.3781625285834561,2.0113953683205783,True,converged,0.012283624964766204,0,"[0, 0]","[1.26248924061656e-05, 0.00011562497820705175]",0.381772382305954,0.37815383234127525,2.011227818118225,0.013743800349358863,0.022726795967614313,True,0.0,0.0
2,7,200,True,converged,0.07618199998978525,1,"[0, 1]","[0.02156420797109604, 0.052659958018921316]","[""converged"", ""converged""]",0.19072182012410677,5.00086028078546,True,converged,0.013111374923028052,0,"[0, 0]","[1.5666941180825233e-05, 0.00012183294165879488]",0.19254240735921832,0.19071743427672197,5.000860280785461,0.009760403735204268,0.016242283229864173,True,0.0,0.0
2,8,200,True,converged,0.07424400001764297,1,"[0, 1]","[0.020778499892912805, 0.051814166945405304]","[""converged"", ""converged""]",0.8709336860737862,1.2827963249709449,True,converged,0.013134915963746607,0,"[0, 0]","[1.2459000572562218e-05, 0.00014108396135270596]",0.8792474214946352,0.8709136580443403,1.282687617257311,0.02085739833525989,0.03553770899123234,True,0.0,0.0
2,9,200,True,converged,0.07513387501239777,1,"[0, 1]","[0.02144662500359118, 0.05185012496076524]","[""converged"", ""converged""]",0.09957217011301049,3.6862925980082775,True,converged,0.013086792081594467,0,"[0, 0]","[1.5542027540504932e-05, 0.00013545900583267212]",0.10052266346380873,0.09956988034699628,3.6862925980082775,0.007052394162931247,0.013861149095646891,True,0.0,0.0
