r0x,r0y,rTx,rTy,v0x,v0y,vTx,vTy,method,side_gap,K_used,cost,winding,min_distance,eps_scale,strict,regime_scp,width_slopes,dual_shares,dua_res,osqp_status,flag,id
1.5,0.0,-3.8333333333333335,0.05,0.0,0.0,0.0,0.0,solved,0.006909010657272341,200,0.2947217012407052,0,0.9994695382167089,1.0,True,1,0.51,0.30,1.082875416025253e-05,solved,,L1_00025
1.5,0.0,-3.8333333333333335,0.16666666666666666,0.0,0.0,0.0,0.0,solved,0.023013809275761576,200,0.2871645157818853,0,0.9997216639526394,1.0,True,1,0.52,0.31,5.357389896104689e-07,solved,,L1_00026
1.5,0.0,-3.8333333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,solved,0.04606474810341321,200,0.27711244051412953,0,0.9995830578965086,1.0,True,1,0.51,0.39,8.661625911621229e-06,solved,,L1_00027
1.5,0.0,-3.8333333333333335,0.5,0.0,0.0,0.0,0.0,solved,0.06902215636553116,200,0.26807889973331706,0,0.9997746655224214,1.0,True,1,0.56,0.48,5.189548469042293e-05,solved,,L1_00028
1.5,0.0,-3.8333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,solved,0.09216182743388807,200,0.2599022809810224,0,0.9993542354047003,1.0,True,1,0.50,0.28,1.191300379723749e-05,solved,,L1_00029
1.5,0.0,-3.8333333333333335,0.8333333333333333,0.0,0.0,0.0,0.0,solved,0.1152086017248164,200,0.2527932266507398,0,0.9996220175142669,1.0,True,1,0.54,0.32,2.7899848338286404e-06,solved,,L1_00030
1.5,0.0,-3.8333333333333335,1.0,0.0,0.0,0.0,0.0,solved,0.1383084057478252,200,0.24659487569910954,0,0.9997521113794234,1.0,True,1,0.54,0.44,3.6716012876960792e-06,solved,,L1_00031
1.5,0.0,-3.8333333333333335,1.1666666666666665,0.0,0.0,0.0,0.0,solved,0.16147554089493077,200,0.24128455547255123,0,0.9997510755531999,1.0,True,1,0.55,0.43,5.458341730587257e-06,solved,,L1_00032
1.5,0.0,-3.8333333333333335,1.3333333333333333,0.0,0.0,0.0,0.0,solved,0.1847445944481267,200,0.23681647563990288,0,0.9995561405627116,1.0,True,1,0.52,0.34,9.147681955867792e-06,solved,,L1_00033
1.5,0.0,-3.8333333333333335,1.5,0.0,0.0,0.0,0.0,solved,0.20785375275843412,200,0.23332880129078445,0,1.000000919088444,1.0,True,1,0.52,0.70,1.7763568394002505e-15,solved,,L1_00034
1.5,0.0,-3.8333333333333335,1.6666666666666665,0.0,0.0,0.0,0.0,solved,0.23124502073540076,200,0.23058073420621117,0,0.9997191542758141,1.0,True,1,0.53,0.42,1.38414567285583e-06,solved,,L1_00035
1.5,0.0,-3.8333333333333335,1.8333333333333333,0.0,0.0,0.0,0.0,solved,0.25473275725935174,200,0.22868522480217623,0,0.9997059098177549,1.0,True,1,0.57,0.42,2.9502373418699435e-06,solved,,L1_00036
1.5,0.0,-3.8333333333333335,2.0,0.0,0.0,0.0,0.0,solved,0.27827969541583764,200,0.22755111873886114,0,0.9994969819459409,1.0,True,1,0.52,0.45,0.00023081592421297687,solved,,L1_00037
1.5,0.0,-3.8333333333333335,2.1666666666666665,0.0,0.0,0.0,0.0,solved,0.30184085652138337,200,0.22722821967632237,0,0.9994911848767417,1.0,True,1,0.54,0.31,7.2350392374886644e-06,solved,,L1_00038
1.5,0.0,-3.8333333333333335,2.333333333333333,0.0,0.0,0.0,0.0,solved,0.3255132074923981,200,0.22768492037117716,0,0.9996678469185466,1.0,True,1,0.54,0.44,3.688863348033644e-06,solved,,L1_00039
1.5,0.0,-3.8333333333333335,2.5,0.0,0.0,0.0,0.0,solved,0.3492756550363723,200,0.22884438543576985,0,0.9996518533410395,1.0,True,1,0.55,0.42,1.1276051685164994e-06,solved,,L1_00040
1.5,0.0,-3.8333333333333335,2.6666666666666665,0.0,0.0,0.0,0.0,solved,0.3731841897556024,200,0.2307059737863947,0,0.9996512567992125,1.0,True,1,0.54,0.42,5.119925173113073e-06,solved,,L1_00041
1.5,0.0,-3.8333333333333335,2.833333333333333,0.0,0.0,0.0,0.0,solved,0.3972377793369142,200,0.23326656257865766,0,0.9998677999934484,1.0,True,1,0.55,0.59,2.0573962919434585e-06,solved,,L1_00042
1.5,0.0,-3.8333333333333335,3.0,0.0,0.0,0.0,0.0,solved,0.42131379167284844,200,0.236474257387568,0,1.0000000065678456,1.0,True,1,0.59,0.59,1.7763568394002505e-15,solved,,L1_00043
