dth,lam,offset,ok,J,regime
0.25,0.0,0,True,0.0005372067830089069,0
0.25,0.0,-1,True,1.1692337926100258,arc
0.25,0.0,1,True,1.5436175111045642,arc
0.25,0.8571428571428571,0,True,0.0018460507658865219,0
0.25,0.8571428571428571,-1,True,1.3110822659844517,arc
0.25,0.8571428571428571,1,True,1.4015989269588194,arc
0.25,1.7142857142857142,0,True,0.011880078853226216,0
0.25,1.7142857142857142,-1,True,1.4714627559795876,arc
0.25,1.7142857142857142,1,True,1.2802008608518505,arc
0.25,2.571428571428571,0,True,0.030639291045027984,0
0.25,2.571428571428571,-1,True,1.6498697778301303,arc
0.25,2.571428571428571,1,True,1.1800668443822566,arc
0.25,3.4285714285714284,0,True,0.058123687341291856,0
0.25,3.4285714285714284,-1,True,1.8458321510647897,arc
0.25,3.4285714285714284,1,True,1.1016320029628113,arc
0.25,4.285714285714286,0,True,0.09433326774201779,0
0.25,4.285714285714286,-1,True,2.0587951511763563,arc
0.25,4.285714285714286,1,True,1.0451624699560078,arc
0.25,5.142857142857142,0,True,0.13926803224720577,0
0.25,5.142857142857142,-1,True,2.2889583616157814,arc
0.25,5.142857142857142,1,True,1.01102434260845,arc
0.25,6.0,0,True,0.19292798085685595,0
0.25,6.0,-1,True,2.535180216105664,arc
0.25,6.0,1,True,0.9992674718214203,arc
0.25,6.857142857142857,0,True,0.25531311357096803,0
0.25,6.857142857142857,-1,True,2.7977494106821093,arc
0.25,6.857142857142857,1,True,1.0093736356551992,arc
0.25,7.7142857142857135,0,True,0.32642343038954236,0
0.25,7.7142857142857135,-1,True,3.0757546697543283,arc
0.25,7.7142857142857135,1,True,1.0407329918922579,arc
0.25,8.571428571428571,0,True,0.4062589313125787,0
0.25,8.571428571428571,-1,True,3.3696423069419494,arc
0.25,8.571428571428571,1,True,1.091992432984339,arc
0.25,9.428571428571429,0,True,0.49481961634007726,0
0.25,9.428571428571429,-1,True,3.6789040641233237,arc
0.25,9.428571428571429,1,True,1.1617403660624361,arc
0.25,10.285714285714285,0,True,0.5921054854720375,0
0.25,10.285714285714285,-1,True,4.00325567914194,arc
0.25,10.285714285714285,1,True,1.2480691317149,arc
0.25,11.142857142857142,0,True,0.6981165387084602,0
0.25,11.142857142857142,-1,True,4.342646126817547,arc
0.25,11.142857142857142,1,True,1.3494811522838415,arc
0.25,12.0,0,True,0.812852776049345,0
0.25,12.0,-1,True,4.697266651753411,arc
0.25,12.0,1,True,1.4647144754024026,arc
0.7631821089316322,0.0,0,True,0.00479289852152816,0
0.7631821089316322,0.0,-1,True,0.8604098206800088,arc
0.7631821089316322,0.0,1,True,2.0144284413906486,arc
0.7631821089316322,0.8571428571428571,0,True,0.0002617094350510463,0
0.7631821089316322,0.8571428571428571,-1,True,0.9828445379051451,arc
0.7631821089316322,0.8571428571428571,1,True,1.8516017545054637,arc
0.7631821089316322,1.7142857142857142,0,True,0.0037319383076848444,0
0.7631821089316322,1.7142857142857142,-1,True,1.1229485176774596,arc
0.7631821089316322,1.7142857142857142,1,True,1.7101436557445862,arc
0.7631821089316322,2.571428571428571,0,True,0.015203585139429538,0
0.7631821089316322,2.571428571428571,-1,True,1.2801208138052265,arc
0.7631821089316322,2.571428571428571,1,True,1.5910664576543128,arc
0.7631821089316322,3.4285714285714284,0,True,0.034676649930285186,0
0.7631821089316322,3.4285714285714284,-1,True,1.4538557432172443,arc
0.7631821089316322,3.4285714285714284,1,True,1.4947417150083777,arc
0.7631821089316322,4.285714285714286,0,True,0.06215113268025174,0
0.7631821089316322,4.285714285714286,-1,True,1.6439568287497504,arc
0.7631821089316322,4.285714285714286,1,True,1.4218559110165547,arc
0.7631821089316322,5.142857142857142,0,True,0.09762703338932917,0
0.7631821089316322,5.142857142857142,-1,True,1.850066534450822,arc
0.7631821089316322,5.142857142857142,1,True,1.372488821865871,arc
0.7631821089316322,6.0,0,True,0.14110435205751762,0
0.7631821089316322,6.0,-1,True,2.0718067531517956,arc
0.7631821089316322,6.0,1,True,1.3470494164210023,arc
0.7631821089316322,6.857142857142857,0,True,0.19258308868481688,0
0.7631821089316322,6.857142857142857,-1,True,2.308855198069711,arc
0.7631821089316322,6.857142857142857,1,True,1.3452899995678256,arc
0.7631821089316322,7.7142857142857135,0,True,0.252063243271227,0
0.7631821089316322,7.7142857142857135,-1,True,2.5610827424348552,arc
0.7631821089316322,7.7142857142857135,1,True,1.3668239859287523,arc
0.7631821089316322,8.571428571428571,0,True,0.3195448158167482,0
0.7631821089316322,8.571428571428571,-1,True,2.828283759570335,arc
0.7631821089316322,8.571428571428571,1,True,1.4106638744873004,arc
0.7631821089316322,9.428571428571429,0,True,0.39502780632138024,0
0.7631821089316322,9.428571428571429,-1,True,3.1101745738061553,arc
0.7631821089316322,9.428571428571429,1,True,1.475538541228807,arc
0.7631821089316322,10.285714285714285,0,True,0.47851221478512307,0
0.7631821089316322,10.285714285714285,-1,True,3.406576975146712,arc
0.7631821089316322,10.285714285714285,1,True,1.5598563392813682,arc
0.7631821089316322,11.142857142857142,0,True,0.569998041207977,0
0.7631821089316322,11.142857142857142,-1,True,3.7177191437677917,arc
0.7631821089316322,11.142857142857142,1,True,1.6619950864323771,arc
0.7631821089316322,12.0,0,True,0.669485285589942,0
0.7631821089316322,12.0,-1,True,4.04278150129265,arc
0.7631821089316322,12.0,1,True,1.7803489241236083,arc
1.2763642178632644,0.0,0,True,0.01238246074871951,1
1.2763642178632644,0.0,-1,True,0.6172646058110267,arc
1.2763642178632644,0.0,1,True,2.586302908660339,arc
1.2763642178632644,0.8571428571428571,0,True,0.00381896633446434,0
1.2763642178632644,0.8571428571428571,-1,True,0.7218546634444822,arc
1.2763642178632644,0.8571428571428571,1,True,2.4005486924659456,arc
