N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_min_dist,position_rmse,max_position_deviation
2,0,100,True,converged,0.0034542083740234375,0.0,0.5635523001448987,1.4386265965582528,0.0,True,converged,0.0001253749942407012,0.0,0.0,0.5747635667211365,1.4370811041632128,0.02871345457578534,0.05493055438180567
2,1,100,True,converged,0.0032241344451904297,0.0,0.3746283418584623,1.407666143841083,0.0,True,converged,9.745790157467127e-05,0.0,0.0,0.3820811695844947,1.4076636550957566,0.023410929019153,0.041820940352565214
2,2,100,True,converged,0.02386617660522461,3.0,0.546107885154558,0.5000000102681921,0.0,True,converged,0.00077970908023417,1.0,1.0,0.5570960771892023,0.5000005388964155,0.02476270268732346,0.05174186212224406
2,3,100,True,converged,0.003145933151245117,0.0,0.8425132686272235,4.646565492551279,0.0,True,converged,9.550002869218588e-05,0.0,0.0,0.8592741634832444,4.646556889645479,0.0351080499670346,0.07022746842689338
2,4,100,True,converged,0.0031599998474121094,0.0,0.4895296805657605,2.4732318329261007,0.0,True,converged,0.00012445892207324505,0.0,0.0,0.4992683467807545,2.47285695373139,0.026761339489078873,0.049441175592861694
2,5,100,True,converged,0.003309011459350586,0.0,0.9525747234159487,2.907552100812033,0.0,True,converged,0.0001308330101892352,0.0,0.0,0.9715251724785403,2.907121083817696,0.037330848381856845,0.07308683118212927
2,6,100,True,converged,0.003504037857055664,0.0,0.37077761076656834,2.011895181575334,0.0,True,converged,9.483296889811754e-05,0.0,0.0,0.3781538323412753,2.011227818118225,0.023290300069201596,0.03818248411241638
2,7,100,True,converged,0.003042936325073242,0.0,0.1869973237474304,5.000860280785462,0.0,True,converged,7.558299694210291e-05,0.0,0.0,0.19071743427672197,5.000860280785462,0.016540019937067656,0.027288084174179127
2,8,100,True,converged,0.003059864044189453,0.0,0.8539257246564906,1.2831203404744853,0.0,True,converged,6.975000724196434e-05,0.0,0.0,0.8709136580443405,1.282687617257311,0.03534503219946239,0.059705644864460394
2,9,100,True,converged,0.003030061721801758,0.0,0.09762768265707922,3.6862925980082775,0.0,True,converged,6.858399137854576e-05,0.0,0.0,0.09956988034699629,3.686292598008278,0.01195101588249021,0.023287625139882247
2,10,100,True,converged,0.012874841690063477,2.0,0.9340537335116192,0.5000000000000001,0.0,True,converged,0.0007113750325515866,1.0,1.0,0.9526286562838806,0.5000060673236583,0.036364358885299417,0.07546790472830485
2,11,100,True,converged,0.01279902458190918,2.0,0.8364205666047587,0.5000000000000001,0.0,True,converged,0.0006532080005854368,1.0,1.0,0.8530871580532687,0.5000000579437057,0.0307528344547714,0.061948358345780795
2,12,100,True,converged,0.0030450820922851562,0.0,0.3956524731101,2.7436466630333776,0.0,True,converged,7.116608321666718e-05,0.0,0.0,0.4035235533034459,2.743275036433682,0.024058872772258374,0.03841023607975844
2,13,100,True,converged,0.0030450820922851562,0.0,0.5396041871995609,2.0338813593114278,0.0,True,converged,7.612502668052912e-05,0.0,0.0,0.5503390318391674,2.0338792324138755,0.028096743625800023,0.05216314496715881
2,14,100,True,converged,0.003058910369873047,0.0,0.48003563593305987,2.9889790881589993,0.0,True,converged,8.508400060236454e-05,0.0,0.0,0.4895854283465692,2.988924750771131,0.02650056129459356,0.04974398982360903
2,15,100,True,converged,0.02946305274963379,3.0,0.5864717006233324,0.5002734878680554,0.0,True,converged,0.0007576250936836004,1.0,1.0,0.5981233734502356,0.5000000216614752,0.029447681113753572,0.05297182113543329
2,16,100,True,converged,0.0031151771545410156,0.0,0.11761150667275769,3.7403258120864695,0.0,True,converged,8.25830502435565e-05,0.0,0.0,0.11995126103699727,3.7403224605746663,0.013117263415531502,0.02453739562254267
2,17,100,True,converged,0.003010988235473633,0.0,0.9948528002749712,1.0485315526437657,0.0,True,converged,7.487507537007332e-05,0.0,0.0,1.014644326181496,1.0485284357780125,0.038150281472690145,0.06864252710572971
2,18,100,True,converged,0.011449813842773438,2.0,0.5474127339271884,0.49999999999999994,0.0,True,converged,0.0006175419548526406,1.0,1.0,0.5583074295126318,0.5000007504525887,0.027653254762185085,0.04312422659316586
2,19,100,True,converged,0.0029761791229248047,0.0,0.6862905196511069,3.4779712152668347,0.0,True,converged,7.920898497104645e-05,0.0,0.0,0.6999435310265819,3.477969416899063,0.03168635860710461,0.055374789829345246
2,20,100,True,converged,0.003192901611328125,0.0,1.6802690934996205,0.658733362876574,0.0,True,converged,0.0001218749675899744,0.0,0.0,1.7136962389876165,0.6545772098352788,0.04958014045481705,0.07833923117765904
2,21,100,True,converged,0.0031538009643554688,0.0,0.32385570207861464,2.2453038542783283,0.0,True,converged,0.00010841595940291882,0.0,0.0,0.3302984627723504,2.2452737212467015,0.02176677595871719,0.042208788574894775
2,22,100,True,converged,0.0030388832092285156,0.0,0.19974283004378254,2.4732627742913174,0.0,True,converged,7.1333022788167e-05,0.0,0.0,0.20371649870547937,2.4732627742913182,0.01709440277856119,0.03582589906371032
2,23,100,True,converged,0.0029799938201904297,0.0,0.97443859929889,1.5791044260250153,0.0,True,converged,6.612506695091724e-05,0.0,0.0,0.9938240066445913,1.5791044260250153,0.03775683417831348,0.06459716634487332
2,24,100,True,converged,0.11135697364807129,4.0,0.8053377302144689,0.500000492893377,0.0,True,converged,0.0007186669390648603,1.0,1.0,0.8216836722412266,0.5000072285151321,0.032722012505299755,0.06969113901846488
2,25,100,True,converged,0.0030388832092285156,0.0,0.6773899581280567,1.1903313877596873,0.0,True,converged,7.412501145154238e-05,0.0,0.0,0.6908659024098697,1.1893270522345116,0.031480216484842026,0.04899467118738085
2,26,100,True,converged,0.012579917907714844,2.0,1.124309680639791,0.50000000262781,0.0,True,converged,0.00057516701053828,1.0,1.0,1.146801855345236,0.5000106743058014,0.03784368059651315,0.06793112710587335
2,27,100,True,converged,0.002977132797241211,0.0,0.2003160080467128,7.224385367180159,0.0,True,converged,9.93749126791954e-05,0.0,0.0,0.20430107946798468,7.2243843683123075,0.01711891208529784,0.03487156240616636
2,28,100,True,converged,0.0030329227447509766,0.0,0.06480252911424166,6.536338627066469,0.0,True,converged,7.187493611127138e-05,0.0,0.0,0.0660917056973688,6.536047825560894,0.009736756543295224,0.017952855652052287
2,29,100,True,converged,0.002972126007080078,0.0,1.1837236917193334,2.4396967792182256,0.0,True,converged,7.275003008544445e-05,0.0,0.0,1.2072726007683459,2.439669589832905,0.04161438714147667,0.07099230717535193
2,30,100,True,converged,0.013235807418823242,2.0,0.33694063924522527,0.5000000000000002,0.0,True,converged,0.0006385829765349627,1.0,1.0,0.3436377694283318,0.5000000489811902,0.02160932310775622,0.044287690927228535
2,31,100,True,converged,0.0032987594604492188,0.0,0.3454838828062129,2.5750130473026087,0.0,True,converged,0.00011108303442597389,0.0,0.0,0.3523569128815729,2.5750130473026083,0.022481859486390858,0.03783767961965407
2,32,100,True,converged,0.0033490657806396484,0.0,1.2017425015345229,4.028346371810734,0.0,True,converged,0.00012124993372708559,0.0,0.0,1.2256498754148786,4.02831657784848,0.041929920951247465,0.08572827600945893
2,33,100,True,converged,0.014111995697021484,2.0,0.8978600272200279,0.5,0.0,True,converged,0.0007565829437226057,1.0,1.0,0.9157222487837684,0.5000021021464275,0.03668940384816358,0.06509049087896411
2,34,100,True,converged,0.003384828567504883,0.0,0.3871412209403573,1.4861983845865732,0.0,True,converged,0.00010737497359514236,0.0,0.0,0.3948429789306922,1.4851158445893893,0.023798689391742657,0.050658695576912126
2,35,100,True,converged,0.003298044204711914,0.0,0.48430495897657755,0.6259647467443157,0.0,True,converged,0.0001170419855043292,0.0,0.0,0.4939396849778455,0.6252160397548995,0.026618145284356614,0.04444936430107343
