dA,dB,K,regime,cost_solve,cost_nd,min_distance,strict,eps_scale,dua_res,width_slopes,width_labels,dual_shares,time_s,fail,t_lo,t_hi,width,interior_gap,n_components,dm_t_lo,dm_t_hi,dm_n_nodes,dm_mass,dm_edge_left,dm_edge_right,dm_interior,dm_interior_max_node,dm_max_share
1.3,1.3,200,arc,0.13901416047886755,139.01416047886755,0.9999401618464886,True,1.0,1.5395502367960131e-06,0.18,ambiguous,0.14;0.14,0.07979488372802734,,0.36,0.63,0.27,0.0014417156945312204,1,0.55,0.605,12,3.200143402876879,0.22462975798044718,1.0069708853074304,1.9685427595890017,0.4368287737405588,0.13650287463613553
1.3,1.3,1000,arc,0.1390039746228678,139.0039746228678,0.9999577797560452,True,1.0,1.6432617659933868e-06,0.18,ambiguous,0.03;0.03,1.036600112915039,,0.364,0.634,0.27,0.0014592760892029322,1,0.387,0.447,61,16.002991395996084,0.3384925754596223,0.028236959268428417,15.636261861268034,0.4728549110875148,0.02954790759968928
