t,x,y,gap,dual
0.0,1.4997818449721585,0.00029095247292894446,0.4997818731940433,0.0
0.005,1.4991295964624993,0.0011579942026678964,0.4991300437054784,0.0
0.01,1.4980476657632718,0.0025894822560299504,0.49804990381400227,0.0
0.015,1.4965404646558924,0.004573770290919205,0.49654745388415544,0.0
0.02,1.4946124036511819,0.007099219141747261,0.4946292637508427,0.0
0.025,1.4922678945394625,0.010154182024718995,0.492302441358933,0.0
0.03,1.4895113490060228,0.013727016244424663,0.48957460027778277,0.0
0.035,1.4863471783721312,0.01780607797236257,0.48645383078908777,0.0
0.04,1.4827797931179343,0.022379725333096685,0.48294867307835343,0.0
0.045,1.4788136057953876,0.02743631324530873,0.4790680957853328,0.0
0.05,1.4744530261001034,0.032964197612354695,0.4748214686869656,0.0
0.055,1.4697024665280671,0.038951737791780114,0.4702185476981591,0.0
0.06,1.464566339338555,0.04538728667356271,0.46526945239267303,0.0
0.065,1.459049053992889,0.052259202014688165,0.45998464586198873,0.0
0.07,1.4531550227637369,0.05955584085820269,0.45437492358875753,0.0
0.075,1.4468886567639703,0.06726555880228145,0.44845139389391653,0.0
0.08,1.4402543682381737,0.0753767150294299,0.44222546586786105,0.0
0.085,1.4332565670648745,0.0838776604957843,0.43570883154100404,0.0
0.09,1.425899666319654,0.09275675795653779,0.42891345943591275,0.0
0.095,1.41818807537354,0.10200235964370993,0.4218515740064399,0.0
0.1,1.4101262076844545,0.11160282264002432,0.4145356522971637,0.0
0.105,1.4017184736820885,0.12154650420032768,0.40697840500306337,0.0
0.11,1.3929692837661491,0.13182176039503557,0.39919276800218806,0.0
0.115,1.3838830506948594,0.1424169487280576,0.39119189376790175,0.0
0.12,1.374464185800688,0.15332042386478512,0.3829891360465656,0.0
0.125,1.364717099708865,0.16452054447699613,0.3745980400803659,0.0
0.13,1.3546462049945909,0.17600566390186095,0.3660323328647026,0.0
0.135,1.3442559119058621,0.1877641422306023,0.35730590870350776,0.0
0.14,1.3335506329651245,0.19978433119919797,0.34843281985955654,0.0
0.145,1.322534778085184,0.21205459391374848,0.3394272619462213,0.0
0.15,1.3112127604639456,0.22456328073264398,0.33030356319784726,0.0
0.155,1.2995889906087126,0.23729875153132557,0.32107616812570594,0.0
0.16,1.2876678802524737,0.2502493608875803,0.3117596244962495,0.0
0.165,1.2754538409010956,0.263403467137053,0.30236856794425804,0.0
0.17,1.2629512837841474,0.2767494243711123,0.2929177039169075,0.0
0.175,1.2501646209545019,0.29027559234054234,0.2834217930964731,0.0
0.18,1.2370982630901888,0.30397032291307036,0.2738956274956901,0.0
