N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_min_dist,position_rmse,max_position_deviation
2,0,100,True,converged,0.003393888473510742,0,0.5635523001448987,1.4386265965582528,0.0,True,converged,0.0208587646484375,0,0,0.5747635667211365,1.4370811041632128,0.02871345457578534,0.05493055438180567
2,1,100,True,converged,0.004151105880737305,0,0.3746283418584623,1.407666143841083,0.0,True,converged,0.012519121170043945,0,0,0.3820811695844947,1.4076636550957566,0.023410929019153,0.041820940352565214
2,2,100,True,converged,0.024183034896850586,3,0.546107885154558,0.5000000102681921,0.0,True,converged,0.013013839721679688,1,1,0.5570960771892023,0.5000005388964156,0.024762702687323446,0.051741862122244006
2,3,100,True,converged,0.003178834915161133,0,0.8425132686272235,4.646565492551279,0.0,True,converged,0.012611865997314453,0,0,0.8592741634832444,4.646556889645479,0.0351080499670346,0.07022746842689338
2,4,100,True,converged,0.003147125244140625,0,0.4895296805657605,2.4732318329261007,0.0,True,converged,0.012913942337036133,0,0,0.4992683467807545,2.47285695373139,0.026761339489078873,0.049441175592861694
2,5,100,True,converged,0.0033757686614990234,0,0.9525747234159487,2.907552100812033,0.0,True,converged,0.012572050094604492,0,0,0.9715251724785403,2.907121083817696,0.037330848381856845,0.07308683118212927
2,6,100,True,converged,0.0030257701873779297,0,0.37077761076656834,2.011895181575334,0.0,True,converged,0.012630939483642578,0,0,0.3781538323412753,2.011227818118225,0.023290300069201596,0.03818248411241638
2,7,100,True,converged,0.0032529830932617188,0,0.1869973237474304,5.000860280785462,0.0,True,converged,0.012459993362426758,0,0,0.19071743427672197,5.000860280785462,0.016540019937067656,0.027288084174179127
2,8,100,True,converged,0.0031731128692626953,0,0.8539257246564906,1.2831203404744853,0.0,True,converged,0.012537956237792969,0,0,0.8709136580443405,1.282687617257311,0.03534503219946239,0.059705644864460394
2,9,100,True,converged,0.0031652450561523438,0,0.09762768265707922,3.6862925980082775,0.0,True,converged,0.012497901916503906,0,0,0.09956988034699629,3.686292598008278,0.01195101588249021,0.023287625139882247
